390	15876	5	2081	2031	CONFIRM	2031
391	15879	12	2008	2003	CONFIRM	2003	print also reads ¶ 14, not ¶ 15 as in context
392	15883	15	866	366	CONFIRM	366
393	15885	1	708	703	CONFIRM	703	$24,703.97
394	15885	16	383	333	CONFIRM	333
395	15888	10	1969	1968	CONFIRM	1968	print reads (1968); McCarthy 394 U.S. 459 is actually 1969 — court typo, preserve
396	15902	7	128	123	CONFIRM	123
397	15906	17	338	333	CONFIRM	333
398	15932	16	428	423	CONFIRM	423
399	15933	28	689	639	CONFIRM	639	$639.35
400	15936	4	82	32	CONFIRM	32	§ 32-03.2-11(1)
401	15939	16	1995	1985	CONFIRM	1985	print clearly (N.D. 1985) at 3x zoom; vol 531 N.W.2d implies 1995 — court typo, preserve
402	15943	16	8	3	UNCLEAR		crop shows "$3,000.00 advance payment" sentence, not the Fund/reimburse context
403	15943	19	0580	0530	CONFIRM	0530
404	15948	20	2	3	CONFIRM	3	print reads N.W.3d 323; vol 599 implies N.W.2d — likely court typo, verify vs full PDF
405	15960	7	18	13	CONFIRM	13	ch. 31-13
406	15963	9	18	13	CONFIRM	13
407	15966	7	80	30	CONFIRM	30
408	15966	11	80	30	UNCLEAR		crop byte-identical to 407 (p7 sentence); p11 context not shown
409	15967	16	12	42	CONFIRM	42	14-20-42
410	15968	12	8	3	CONFIRM	3	§ 25-03.3-13
411	15973	9	728	723	CONFIRM	723	719, 723 (N.D. 1978)
412	15973	9	835	335	CONFIRM	335	335 N.W.2d 321
413	15978	10	88	38	CONFIRM	38	$38,000
414	15980	12	708	703	CONFIRM	703	N.D.R.Ev. 703
415	15984	27	558	553	CONFIRM	553
416	15990	12	08	03	UNCLEAR		crop shows only docket "No. 20120323"; § 39-20-0?.1 sentence not visible
417	15991	9	1010	1040	CONFIRM	1040	H.B. 1040
418	15996	17	28	23	CONFIRM	23	July 23, 2012
419	15997	10	82	32	CONFIRM	32	§ 32- (line wraps before 34-01)
