idx	oid	para	db_token	pdf_token	status	file	context
0	12356	2	289	239	RENDERED	000_12356_p2_289-vs-239.png	...2,966.28 to the van and $[289->239].05 to the garage. In ear...
1	12356	6	18	13	RENDERED	001_12356_p6_18-vs-13.png	... to reconsider on August [18->13], and Bragg’s notice of a...
2	12407	12	1995	1992	RENDERED	002_12407_p12_1995-vs-1992.png	...538 N.W.2d 197, 201 (N.D.[1995->1992]). First, the court must ...
3	12439	5	538	533	RENDERED	003_12439_p5_538-vs-533.png	...40, ¶ 5, 560 N.W.2d 532, [538->533]; *Wyatt v. Adams,* 551...
4	12439	8	870	871	RENDERED	004_12439_p8_870-vs-871.png	...Gessner,* 529 N.W.2d at [870->871]. Instead, the converse i...
5	12460	6	28	23	RENDERED	005_12460_p6_28-vs-23.png	...-mich $2,476 and Debbon $[28->23],285 in additional income...
6	12460	6	285	235	RENDERED	006_12460_p6_285-vs-235.png	...ch $2,476 and Debbon $28,[285->235] in additional income tax...
7	12460	31	814	314	RENDERED	007_12460_p31_814-vs-314.png	... Murgia,* 427 U.S. 307, [814->314], 96 S.Ct. 2562, 2567, 49...
8	12477	17	488	483	RENDERED	008_12477_p17_488-vs-483.png	...nzel,* 485 F.Supp. 481, [488->483] (D.Minn.1980) (failure t...
9	12555	6	204	200	RENDERED	009_12555_p6_204-vs-200.png	.... Grinaker,* 553 N.W.2d [204->200], 207-208 (N.D.1996): ...
10	12556	18	148	143	RENDERED	010_12556_p18_148-vs-143.png	...erson,* 348 N.W.2d 141, [148->143] (N.D.1984). A direct fin...
11	12556	26	1	4	RENDERED	011_12556_p26_1-vs-4.png	...ee N.D. R. Civ. P. 59(b)([1->4]).* During the trial, Re...
12	12556	27	8	3	RENDERED	012_12556_p27_8-vs-3.png	...scovering the evidence; ([8->3]) the evidence must not b...
13	12571	12	82	32	RENDERED	013_12571_p12_82-vs-32.png	...ceeding. *375 NDCC 29-[82->32].1-12(2). Johnson offers ...
14	12574	12	84	34	RENDERED	014_12574_p12_84-vs-34.png	...nsistent with N.D.C.C. § [84->34]-02-02, and the reason th...
15	12574	21	158	153	RENDERED	015_12574_p21_158-vs-153.png	...1985); *Wall v. Zeeb,* [158->153] N.W.2d 779, 784 (N.D.196...
16	12582	13	408	403	RENDERED	016_12582_p13_408-vs-403.png	... 147 Neb. 48, 22 N.W.2d [408->403], 410-11 (1946). The Nebr...
17	12582	19	1988	1983	RENDERED	017_12582_p19_1988-vs-1983.png	...business in September of [1988->1983] and the business has exp...
18	12585	17	384	334	RENDERED	018_12585_p17_384-vs-334.png	...l v. Emery,* 508 N.W.2d [384->334], 339 (N.D.1993). The pur...
19	12608	45	3	2	RENDERED	019_12608_p45_3-vs-2.png	...t stake in Fatland, 62 F.[3->2]d at 1072-73 (employee's ...
20	12611	11	1947	1946	RENDERED	020_12611_p11_1947-vs-1946.png	...S.Ct. 645, 91 L.Ed. 818 ([1947->1946]) (allowing for correctio...
21	12630	12	580	530	RENDERED	021_12630_p12_580-vs-530.png	.... *Slorby v. Johnson,* [580->530] N.W.2d 307, 310 (N.D.199...
22	12631	8	228	223	RENDERED	022_12631_p8_228-vs-223.png	...rdis v. Eddy Brothers,* [228->223] N.W.2d 674, 680 (N.D.197...
23	12639	18	802	807	RENDERED	023_12639_p18_802-vs-807.png	...7 ND 7, ¶ 16, 559 N.W.2d [802->807]. Here, the trial court’s...
24	12639	31	404	402	RENDERED	024_12639_p31_404-vs-402.png	... to relevancy, N.D.R.Ev. [404->402](a)(2) generally allows a...
25	12646	33	648	643	RENDERED	025_12646_p33_648-vs-643.png	...sion to stop. *Id.* at [648->643]. This Court concluded th...
26	12647	7	577	557	RENDERED	026_12647_p7_577-vs-557.png	...nited States v. Edwards, [577->557]* F.2d 883, 895 (5th Ci...
27	12647	17	581	531	RENDERED	027_12647_p17_581-vs-531.png	...f the case. *Johnson,* [581->531] N.W.2d at 278. The passa...
28	12648	2	28	23	RENDERED	028_12648_p2_28-vs-23.png	...ob, was born on December [28->23],1994. Darin and Desiree ...
29	12653	56	408	403	RENDERED	029_12653_p56_408-vs-403.png	...t. *See Wishnatsky* at [408->403]. ...
30	12665	11	658	558	RENDERED	030_12665_p11_658-vs-558.png	...7 ND 69, ¶20, 662 N.W.2d [658->558] (“The judgments are affi...
31	12665	11	662	562	RENDERED	031_12665_p11_662-vs-562.png	...Moch,* 1997 ND 69, ¶20, [662->562] N.W.2d 658 (“The judgmen...
32	12667	6	558	553	RENDERED	032_12667_p6_558-vs-553.png	...of a peer review system. [558->553] N.W.2d at 212. *Swanso...
33	12672	4	82	32	RENDERED	033_12672_p4_82-vs-32.png	...nder N.D.C.C. Chapter 29-[82->32].1, alleging ineffective ...
34	12672	41	108	103	RENDERED	034_12672_p41_108-vs-103.png	...*Wilson,* 466 N.W.2d at [108->103]. However, ineffective as...
35	12672	41	8	3	RENDERED	035_12672_p41_8-vs-3.png	... the use of the N.D.R.C. [8->3].2 procedure. Under N.D.C...
36	12674	21	1805	1305	RENDERED	036_12674_p21_1805-vs-1305.png	...dez,* 745 *565 F.2d [1805->1305], 1310 (10th Cir.1984) (n...
37	12677	14	936	946	RENDERED	037_12677_p14_936-vs-946.png	...uper. 561, 564 A.2d 931, [936->946] (1989) (whether nonconfo...
38	12684	20	74	70	RENDERED	038_12684_p20_74-vs-70.png	...ry of Bismarck v. Allen, [74->70] N.D. 400, 22 N.W.2d 625,...
39	12684	29	1995	1985	RENDERED	039_12684_p29_1995-vs-1985.png	... 1155, 130 L.Ed.2d 1112 ([1995->1985]), involved the prosecuti...
40	12689	9	100	400	RENDERED	040_12689_p9_100-vs-400.png	...es the greater of a) $17,[100->400] per “lease year” (minimu...
41	12707	9	558	553	RENDERED	041_12707_p9_558-vs-553.png	...Trust v. Ramada, Inc.,* [558->553] N.W.2d 760 (N.D.1996), t...
