db	expected_doc	batch	rows	first_timestamp	match
constitution.db	CHANGELOG-data-primarylaw.md	const-amend-I-2026-06-14	1	2026-06-14T20:21:42	missing
constitution.db	CHANGELOG-data-primarylaw.md	modern-redline-agent-2026-06-14	13	2026-06-15T17:48:21	missing
constitution.db	CHANGELOG-data-primarylaw.md	modern-redline-wave2-2026-06-14	4	2026-06-15T17:48:21	missing
constitution.db	CHANGELOG-data-primarylaw.md	modern-versions-markup-2026-06-14	7	2026-06-15T17:48:21	missing
constitution.db	CHANGELOG-data-primarylaw.md	modern-multichain-2026-06-14	18	2026-06-15T17:48:22	missing
constitution.db	CHANGELOG-data-primarylaw.md	modern-x26-legacyfund-2026-06-14	1	2026-06-15T17:48:22	missing
opinions.db	CHANGELOG-data.md	align-source-reporter-restore-2026-06-22	109	2026-06-22T13:23:33	missing
opinions.db	CHANGELOG-data.md	clear-cite-shaped-docket-2026-06-22	2	2026-06-22T13:28:50	missing
opinions.db	CHANGELOG-data.md	fix-author-court-report-2026-06-22	3	2026-06-22T14:00:13	missing
opinions.db	CHANGELOG-data.md	docket-backfill-court-report-2026-06-22	2	2026-06-22T14:06:44	missing
opinions.db	CHANGELOG-data.md	01-case-normalization	4825	2026-04-05T03:35:16	known-baseline
opinions.db	CHANGELOG-data.md	02-birdzell-ocr	423	2026-04-05T03:35:22	known-baseline
opinions.db	CHANGELOG-data.md	03-bronson-ocr	76	2026-04-05T03:37:17	known-baseline
opinions.db	CHANGELOG-data.md	04-bruce-ocr	33	2026-04-05T03:37:56	known-baseline
opinions.db	CHANGELOG-data.md	05-burke-ocr	185	2026-04-05T03:40:19	known-baseline
opinions.db	CHANGELOG-data.md	05b-context-fixes	3	2026-04-05T03:40:19	known-baseline
opinions.db	CHANGELOG-data.md	06-misc-justice-ocr	276	2026-04-05T03:44:37	known-baseline
opinions.db	CHANGELOG-data.md	06b-per-curiam	60	2026-04-05T03:44:37	known-baseline
opinions.db	CHANGELOG-data.md	06c-stragglers	4	2026-04-05T03:45:30	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol1-2-fix	1	2026-04-05T12:57:26	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol6-fix	1	2026-04-05T13:26:25	known-baseline
opinions.db	CHANGELOG-data.md	web-ui	261	2026-04-05T20:31:20	known-baseline
opinions.db	CHANGELOG-data.md	fix-timm-cite	1	2026-04-06T12:52:39	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol8	10	2026-04-06T13:12:50	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol9	12	2026-04-06T13:13:06	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol10	5	2026-04-06T13:13:20	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-low-quality	9	2026-04-06T13:20:49	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol11	37	2026-04-07T12:19:51	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol12	5	2026-04-07T12:20:03	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol13	7	2026-04-07T12:22:03	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol14	7	2026-04-13T17:49:52	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol15	15	2026-04-13T17:50:03	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol16	10	2026-04-14T13:09:01	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol17	8	2026-04-14T13:09:13	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol18	17	2026-04-14T13:09:26	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol19	18	2026-04-14T13:09:36	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol21	23	2026-04-15T13:15:14	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol22	12	2026-04-15T13:15:31	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol25	9	2026-04-16T12:57:31	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol26	9	2026-04-16T12:57:36	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol27	8	2026-04-16T12:57:43	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol28	9	2026-04-16T12:57:50	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol29	9	2026-04-16T12:57:55	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol30	8	2026-04-16T12:58:01	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol33	8	2026-04-17T13:59:32	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol34	13	2026-04-17T14:00:52	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol35	12	2026-04-17T14:01:01	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol36	10	2026-04-17T14:01:42	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol37	16	2026-04-17T14:01:50	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol38	15	2026-04-18T13:10:28	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol39	24	2026-04-18T13:10:37	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol40	12	2026-04-18T13:11:11	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol41	37	2026-04-18T13:11:17	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol42	32	2026-04-18T13:11:45	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol43	37	2026-04-18T13:11:53	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol46	36	2026-04-19T17:51:56	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol47	32	2026-04-19T17:52:06	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol50	59	2026-04-21T12:09:03	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol51	17	2026-04-21T12:09:15	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol56	22	2026-04-23T20:12:59	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol59	39	2026-04-24T11:26:28	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol60	21	2026-04-24T11:26:48	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol61	26	2026-04-24T11:28:30	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol65	1	2026-04-25T11:30:49	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol66	3	2026-04-25T11:31:02	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol67	3	2026-04-25T11:31:12	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol70	1	2026-04-26T14:07:18	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol71	1	2026-04-26T14:07:29	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol72	4	2026-04-26T14:07:38	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol73	3	2026-04-26T14:07:48	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol76	2	2026-04-27T12:42:20	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol77	1	2026-04-27T12:42:28	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol78	3	2026-04-27T12:42:41	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-text-merge-2026-04-27-pass3	10	2026-04-27T13:14:06	stem-only
opinions.db	CHANGELOG-data.md	fix-westlaw-pairings-round2-2026-05-04-text-merge	8	2026-05-05T03:31:06	stem-only
opinions.db	CHANGELOG-data.md	fix-westlaw-pairings-round2-text-rerun	8	2026-05-05T03:34:11	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-queue-clearwins-2026-05-16	36	2026-05-16T14:18:07	stem-only
opinions.db	CHANGELOG-data.md	section6-dedup-2026-05-16	102	2026-05-16T15:16:11	known-baseline
opinions.db	CHANGELOG-data.md	section6-dedup-corpus-2026-05-16	381	2026-05-16T16:41:06	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol1-casenames	1	2026-05-18T21:10:02	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol2-casenames	4	2026-05-18T21:11:55	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol3-casenames	5	2026-05-18T21:15:48	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol4-casenames	3	2026-05-18T21:19:36	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol16-casenames	3	2026-05-20T14:29:07	known-baseline
