volume	opinion_id	primary_citation	db_name	opinion_text_title	wl_doc_caption	doc_path	jaccard	verdict	suggested_action	suggested_new_value	doc_pair_oid	doc_pair_name
16	274	16 N.D. 59	Kerr v. Sunstrum	Kerr v. Sunstrum	KERR v. HERRED.	/Users/jerod/refs/nd/opin/N.D./16/0059-Kerr-v-Herred.doc	0.425	AMBIG	human_review			
16	274	16 N.D. 59	Kerr v. Sunstrum	Kerr v. Sunstrum	KERR v. SWANSON.	/Users/jerod/refs/nd/opin/N.D./16/0059-Kerr-v-Swanson.doc	0.425	AMBIG	human_review			
16	286	16 N.D. 306	Smith v. Show	Smith v. Show	SMITH v. BRADLEY et al.	/Users/jerod/refs/nd/opin/N.D./16/0306-Smith-v-Bradley.doc	0.953	SAME	update_case_name	Smith v. Bradley	286	Smith v. Show
16	295	16 N.D. 106	A. B. Farquhar Co. v. Higham	A. B. Farquhar Co. v. Higham	STATE ex rel. HARVEY v. DAVIES.	/Users/jerod/refs/nd/opin/N.D./16/0106-State-v-Davies.doc	0.043	ALREADY_PAIRED	no_change		296	State ex rel. Harvey v. Davies
16	298	16 N.D. 126	Omlie v. O'Toole	Omlie v. O'Toole	OMLIE v. O’TOOLE et al. June 19. 1907.	/Users/jerod/refs/nd/opin/N.D./16/0126-Omlie-v-O'Toole.doc	1.000	FALSE_POSITIVE_NORM	no_change			
16	302	16 N.D. 193	State Finance Co. v. Bowdle	State Finance Co. v. Bowdle	STATE FINANCE CO. v. MYERS et al.	/Users/jerod/refs/nd/opin/N.D./16/0193-State-Finance-Co-v-Myers.doc	0.961	SAME	update_case_name	State Finance Co. v. Myers	302	State Finance Co. v. Bowdle
17	321	17 N.D. 1	Gray v. Harvey	Gray v. Harvey	GRAY v. O. W. KERR LAND CO.	/Users/jerod/refs/nd/opin/N.D./17/0001-Gray-v-OW-Kerr-Land-Co.doc	0.911	SAME	update_case_name	Gray v. O. W. Kerr Land Co.	321	Gray v. Harvey
17	340	17 N.D. 76	First National Bank v. Warner	First National Bank v. Warner	FIRST NAT. BANK OF BOTTINEAU v. HILLIBOE et al.	/Users/jerod/refs/nd/opin/N.D./17/0076-First-Nat-Bank-v-Hilliboe.doc	0.940	SAME	update_case_name	First Nat. Bank of Bottineau v. Hilliboe	340	First National Bank v. Warner
17	378	17 N.D. 203	Northern Pacific Railway Co. v. Boynton	Northern Pacific Railway Co. v. Boynton	NORTHERN PAC. RY. CO. v. KRESZESZEWSKI et al.	/Users/jerod/refs/nd/opin/N.D./17/0203-Northern-Pac-Ry-Co-v-Kreszeszewski.doc	0.944	SAME	update_case_name	Northern Pac. Ry. Co. v. Kreszeszewski	378	Northern Pacific Railway Co. v. Boynton
17	382	17 N.D. 266	Ross v. Prante	Ross v. Prante	SKEFFINGTON v. PRANTE et al.	/Users/jerod/refs/nd/opin/N.D./17/0266-Skeffington-v-Prante.doc	0.063	ALREADY_PAIRED	no_change		383	Skeffington v. Prante
17	395	17 N.D. 339	Bertelson v. Ehr	Bertelson v. Ehr	BERTLESON v. EHR.	/Users/jerod/refs/nd/opin/N.D./17/0339-Bertleson-v-Ehr.doc	0.861	SAME	update_case_name	Bertleson v. Ehr	395	Bertelson v. Ehr
17	415	17 N.D. 393	Soliah v. Cormack	Soliah v. Cormack	ERICKSON v. ELLIOTT.	/Users/jerod/refs/nd/opin/N.D./17/0393-Erickson-v-Elliott.doc	0.020	ALREADY_PAIRED	no_change		422	Erickson v. Elliott
17	419	17 N.D. 404	O'Keefe v. Omlie	O'Keefe v. Omlie	O’KEEFE v. BEECHER.	/Users/jerod/refs/nd/opin/N.D./17/0404-O'Keefe-v-Beecher.doc	0.914	SAME	update_case_name	O'Keefe v. Beecher	419	O'Keefe v. Omlie
19	480	19 N.D. 8	Emerson Manufacturing Co. v. Tvedt	Emerson Manufacturing Co. v. Tvedt	EMERSON MFG. CO. v. RUSTAD.	/Users/jerod/refs/nd/opin/N.D./19/0008-Emerson-Mfg-Co-v-Rustad.doc	0.903	SAME	update_case_name	Emerson Mfg. Co. v. Rustad	480	Emerson Manufacturing Co. v. Tvedt
19	499	19 N.D. 57	State ex rel. McCue v. Minneapolis, St. Paul & Sault Ste. Marie Railway Co.	State ex rel. McCue v. Minneapolis, St. Paul & Sault Ste. Marie Railway Co.	STATE ex rel. McCUE., Atty. GEN., v. GREAT NORTHERN RY. CO.	/Users/jerod/refs/nd/opin/N.D./19/0057-State-ex-rel-McCue-v-Great-Northern-R-Co.doc	0.442	AMBIG	human_review			
19	504	19 N.D. 144	Chanlder v. Starling	Chanlder v. Starling	CHANDLER v. STARLING et al.	/Users/jerod/refs/nd/opin/N.D./19/0144-Chandler-v-Starling.doc	0.966	SAME	update_case_name	Chandler v. Starling	504	Chanlder v. Starling
19	562	19 N.D. 337	Smith v. Gaub	Smith v. Gaub	SMITH v. HOGUE et al.	/Users/jerod/refs/nd/opin/N.D./19/0337-Smith-v-Hogue.doc	0.956	SAME	update_case_name	Smith v. Hogue	562	Smith v. Gaub
19	582	19 N.D. 426	State v. O'Neal	State v. O'Neal	STATE v. O’NEAL.	/Users/jerod/refs/nd/opin/N.D./19/0426-State-v-O'Neal.doc	1.000	FALSE_POSITIVE_NORM	no_change			
19	591	19 N.D. 784	Waterloo Gasoline Engine Co. v. O'Neill	Waterloo Gasoline Engine Co. v. O'Neill	WATERLOO GASOLINE ENGINE CO. v. O’NEILL.	/Users/jerod/refs/nd/opin/N.D./19/0784-Waterloo-Gasoline-Engine-Co-v-O'Neill.doc	1.000	FALSE_POSITIVE_NORM	no_change			
19	605	19 N.D. 713	O'Brien v. O'Brien	O'Brien v. O'Brien	O’BRIEN v. O’BRIEN et al.	/Users/jerod/refs/nd/opin/N.D./19/0713-O'Brien-v-O'Brien.doc	1.000	FALSE_POSITIVE_NORM	no_change			
20	651	20 N.D. 225	Borden v. McNamara	Borden v. McNamara	BORDEN v. GRAVES et al.	/Users/jerod/refs/nd/opin/N.D./20/0225-Borden-v-Graves.doc	0.976	SAME	update_case_name	Borden v. Graves	651	Borden v. McNamara
20	667	20 N.D. 357	State v. Heiser	State v. Heiser	STATE v. HEIDT.	/Users/jerod/refs/nd/opin/N.D./20/0357-State-v-Heidt.doc	0.987	SAME	update_case_name	State v. Heidt	667	State v. Heiser
20	672	20 N.D. 372	State v. Andor	State v. Andor	FITZMAURICE v. WILLIS et al., COUNTY COM’RS.	/Users/jerod/refs/nd/opin/N.D./20/0372-Fitzmaurice-v-Willis.doc	0.015	ORPHAN_SIBLING	human_review_potential_gap			
